id,district,address,total_price,price_per_meter,build_time,num_of_bedrooms,num_of_living_rooms,size,orientation,building_type,num_of_floors
1,东城,天通苑东三区,中价格,中价格,2002,2,1,中价格,南 北,中楼层 ,7
2,东城,私摩空间,稍低价格,高价格,2004,1,0,低价格,东北,低楼层 ,12
3,东城,珠江逸景,稍低价格,稍低价格,2009,2,1,稍低价格,东,高楼层 ,14
4,东城,小关东里10号院,中高价格,高价格,1983,3,1,稍低价格,南 北,低楼层 ,6
5,东城,左家庄北里,中价格,中高价格,1995,2,1,低价格,南,低楼层 ,21
6,东城,易构空间,中价格,中高价格,2004,2,1,稍低价格,西南,低楼层 ,28
7,东城,天通苑北三区,中价格,中价格,2005,2,1,中价格,南 北,中楼层 ,7
8,东城,北京青年城,中价格,中高价格,2003,2,1,稍低价格,南 北,顶层 ,6
9,东城,新华街五里,稍低价格,中价格,2000,2,1,稍低价格,东 西,高楼层 ,14
10,东城,九龙花园,高价格,中高价格,1999,3,2,中高价格,西南,高楼层 ,22
11,东城,领秀慧谷A区,稍低价格,中价格,2011,2,1,稍低价格,东 西,中楼层 ,9
12,东城,三环新城7号院,中价格,中价格,2005,2,1,中价格,西南,低楼层 ,27
13,东城,京汉旭城,中价格,中价格,2004,2,1,稍低价格,东南,低楼层 ,23
14,东城,大六部口,高价格,高价格,1989,3,1,稍低价格,南 北,中楼层 ,6
15,东城,甘露家园,稍低价格,中价格,1979,2,1,低价格,南 北,顶层 ,5
16,东城,慧华苑,稍低价格,中价格,1996,2,1,稍低价格,南 北,底层 ,6
17,东城,石佛营西里小区,中价格,中价格,1999,2,1,稍低价格,南 北,中楼层 ,15
18,东城,月坛北小街,中高价格,高价格,1980,2,1,低价格,南,顶层 ,6
19,东城,福苑小区,稍低价格,稍低价格,1997,2,1,稍低价格,南 北,低楼层 ,6
20,东城,西黄新村北里,中价格,中价格,2004,2,1,中价格,东北,高楼层 ,23
21,东城,建邦枫景,中价格,中价格,2011,2,1,稍低价格,南,低楼层 ,22
22,东城,远洋一方润园6号院,稍低价格,中价格,2010,2,1,稍低价格,南,低楼层 ,14
23,东城,徜徉嘉园5号院,中价格,中价格,2012,3,1,中价格,南 北,中楼层 ,8
24,东城,兴海园,稍低价格,稍低价格,2002,2,1,稍低价格,南 北,高楼层 ,6
25,东城,双龙南里,稍低价格,中价格,1994,2,1,低价格,东 西,低楼层 ,6
26,东城,兴海家园月苑,稍低价格,中价格,2006,2,1,稍低价格,南 北,顶层 ,6
27,东城,北京人家,中价格,中价格,2005,3,1,中价格,南 北,高楼层 ,6
28,东城,华腾园,中高价格,中价格,2001,3,1,中高价格,西南 北,底层 ,28
29,东城,金鑫苑,低价格,低价格,2002,2,1,稍低价格,南 北,中楼层 ,7
30,东城,滨河西里,稍低价格,稍低价格,1992,2,1,低价格,东南 西北,高楼层 ,6
31,东城,京投发展公园悦府,中价格,中高价格,2015,2,1,稍低价格,南,底层 ,22
32,东城,南三环东路,稍低价格,中价格,1989,1,1,低价格,北,底层 ,18
33,东城,风雅园三区,中价格,中价格,2000,2,1,中价格,东南,低楼层 ,6
34,东城,罗庄西里,中高价格,中高价格,1997,2,1,稍低价格,东南,中楼层 ,18
35,东城,天坛东里南区,中价格,高价格,1980,3,1,稍低价格,南 北,低楼层 ,12
36,东城,望京西园一区,中价格,中高价格,1999,2,1,稍低价格,南 北,低楼层 ,28
37,东城,住欣家园,稍低价格,中价格,2010,2,1,稍低价格,西南,低楼层 ,26
38,东城,晨光家园,中价格,中高价格,1999,2,1,稍低价格,东南,低楼层 ,30
39,东城,西坝河东里,稍低价格,中高价格,1988,1,1,低价格,西南,高楼层 ,6
40,东城,华威西里,稍低价格,中价格,1995,2,1,稍低价格,东南,高楼层 ,18
41,东城,玉泉西路甲3号院,稍低价格,中高价格,1986,1,1,低价格,南,低楼层 ,6
42,东城,嘉园一里,稍低价格,中价格,1997,2,1,低价格,南 北,低楼层 ,18
43,东城,海特花园小区,稍低价格,中价格,1996,2,1,稍低价格,南 西北,高楼层 ,18
44,东城,龙华园,中价格,中价格,1996,2,1,稍低价格,南 北,中楼层 ,6
45,东城,八角北里,稍低价格,中价格,1987,2,1,稍低价格,南 北,顶层 ,6
46,东城,双兴南区,稍低价格,稍低价格,1997,3,1,稍低价格,南 北,中楼层 ,6
47,东城,润泽公馆,高价格,高价格,2013,3,2,中高价格,南 北,中楼层 ,23
48,东城,花家地西里一区,中价格,中高价格,1995,2,1,稍低价格,东南,中楼层 ,18
49,东城,建欣苑三里,稍低价格,中价格,2003,2,1,稍低价格,东 西,中楼层 ,12
50,东城,旧宫新苑南区,稍低价格,稍低价格,2012,2,1,稍低价格,南 北,顶层 ,18
51,东城,地铁古城家园,稍低价格,中价格,2000,2,1,稍低价格,东南,顶层 ,24
52,东城,华英园,稍低价格,稍低价格,2002,2,1,中价格,南 北,顶层 ,6
53,东城,龙锦苑二区,中价格,稍低价格,2005,2,2,中价格,南 北,顶层 ,6
54,东城,保利西山林语,中价格,中高价格,2010,2,1,稍低价格,南 北,低楼层 ,8
55,东城,金域华府一期,中价格,中价格,2012,2,1,稍低价格,南,低楼层 ,28
56,东城,荣丰2008,稍低价格,高价格,2006,1,0,低价格,南,顶层 ,26
57,东城,地坛北里,中高价格,高价格,1989,2,1,低价格,东 西,中楼层 ,5
58,东城,星河城东区,中价格,中高价格,2007,2,1,稍低价格,东北,高楼层 ,18
59,东城,明发雅苑,稍低价格,稍低价格,2015,2,1,稍低价格,南,低楼层 ,26
60,东城,苏荷时代,稍低价格,中价格,2005,2,1,稍低价格,西,中楼层 ,18
61,东城,雍景四季,中高价格,中价格,2009,2,1,中价格,南,顶层 ,25
62,东城,小关北里,中价格,中高价格,1993,2,1,稍低价格,南 北,顶层 ,6
