word,vector
26985,"[0.03040795400738716,-0.0853184163570404,0.018915895372629166,0.002101235557347536,-0.00633441423997283]"
5451,"[-0.03405347838997841,-0.09809065610170364,0.11308176070451736,-0.13848429918289185,-0.01420889887958765]"
4018,"[-0.007544432766735554,0.012732947245240211,0.010507031343877316,-0.05652739107608795,-0.06333586573600769]"
4056,"[-0.08126464486122131,-0.11613638699054718,0.10270965099334717,-0.004460236057639122,-0.14190399646759033]"
32584,"[0.0012067551724612713,-0.08949889242649078,0.008518061600625515,-0.07631875574588776,-0.01961095631122589]"
6909,"[0.04636609926819801,0.022756235674023628,0.06903451681137085,-0.005464707035571337,0.06462284177541733]"
205,"[-0.052745625376701355,-0.01629510708153248,0.01258615218102932,0.0657164454460144,-0.028401188552379608]"
2014,"[0.04457142949104309,0.07687746733427048,0.0139081459492445,0.07385262846946716,-0.053150806576013565]"
193609,"[-0.08808116614818573,-0.0816994309425354,-0.026693154126405716,0.016727164387702942,-0.07782881706953049]"
45,"[0.21266810595989227,0.23186665773391724,0.09378556162118912,0.18491904437541962,-0.0012406259775161743]"
127108,"[0.019262149930000305,-0.06660529971122742,0.1235455647110939,-0.10138791054487228,-0.1542953997850418]"
6979,"[0.10163810104131699,-0.10500910878181458,0.05744216591119766,-0.06872128695249557,-0.05220475047826767]"
5608,"[-0.10446412116289139,-0.1374059021472931,0.17204967141151428,-0.11306129395961761,0.06685524433851242]"
515,"[-0.14332641661167145,-0.12837210297584534,-0.14340370893478394,0.3767388164997101,0.4419984519481659]"
86628,"[-0.1762654185295105,0.008446493186056614,0.19848453998565674,-0.048127420246601105,-0.12633958458900452]"
64034,"[-0.1921292245388031,-0.0768081545829773,0.08682771027088165,-0.11207999289035797,-0.07508350908756256]"
1210,"[-0.1211228221654892,0.3769699037075043,-1.3506050109863281,1.2533035278320312,-0.71015465259552]"
1673,"[-0.09041006118059158,0.05617184564471245,-0.1490180939435959,0.08364638686180115,-0.04839713126420975]"
193571,"[-0.14269550144672394,-0.015067321248352528,0.16775059700012207,-0.059471506625413895,0.045953698456287384]"
67923,"[0.02174757793545723,-0.020311087369918823,0.08656521141529083,-0.09619425982236862,0.03352906554937363]"
6290,"[-0.010277513414621353,0.01428011804819107,0.060927681624889374,-0.0722322016954422,0.0016515767201781273]"
1554,"[-0.04078737646341324,0.04571043699979782,-0.03687403351068497,-0.054243043065071106,-0.08876671642065048]"
58154,"[-0.15026186406612396,-0.17185354232788086,0.13119128346443176,-0.10227598249912262,-0.12031367421150208]"
574,"[0.06998665630817413,-0.09062636643648148,0.0710650309920311,-0.0476725697517395,-0.06778696924448013]"
2935,"[-0.1262817233800888,-0.02396460436284542,0.019301654770970345,-0.11466993391513824,-0.051999401301145554]"
4621,"[0.03241077437996864,-0.03277748078107834,0.01775112934410572,-0.01025911420583725,0.037700239568948746]"
60766,"[-0.1184925064444542,-0.012443681247532368,0.07462934404611588,-0.11117782443761826,-0.010655045509338379]"
4464,"[-0.18523138761520386,-0.10055479407310486,0.11375384777784348,-0.10993768274784088,-0.09000150859355927]"
2371,"[-0.10194993019104004,-0.12185312062501907,0.0024514091201126575,0.03525694087147713,-0.14508260786533356]"
1262,"[-0.6788474917411804,0.09325936436653137,-0.8377804756164551,0.44116389751434326,-0.07710153609514236]"
4386,"[-0.11102883517742157,-0.09422514587640762,0.14453929662704468,-0.05406516417860985,-0.09732383489608765]"
121338,"[-0.11658572405576706,-0.02968575805425644,0.12552879750728607,-0.16607171297073364,0.016614366322755814]"
103228,"[-0.18919061124324799,-0.1022559106349945,0.12855754792690277,-0.20543698966503143,-0.19084681570529938]"
3723,"[-0.00038415752351284027,-0.05056816339492798,0.014124330133199692,-0.02034972608089447,-0.02273574471473694]"
8939,"[-0.0890241414308548,0.07920539379119873,-0.0649547129869461,0.07617782056331635,0.0028846892528235912]"
1690,"[-0.17210353910923004,0.047047145664691925,-0.07765255868434906,0.10314713418483734,-0.10598684102296829]"
5181,"[-0.008637558668851852,-0.0902511402964592,0.14640477299690247,-0.12689054012298584,0.02953571267426014]"
2240,"[-0.12628613412380219,-0.0009415438398718834,-0.015929456800222397,-0.021534662693738937,-0.1072932630777359]"
164179,"[-0.2544383108615875,-0.1769685447216034,0.37693047523498535,-0.3232002556324005,-0.32021671533584595]"
137857,"[-0.12920808792114258,-0.08459143340587616,0.1389598399400711,-0.20565305650234222,-0.0543682724237442]"
3556,"[-0.14080208539962769,0.018167579546570778,0.16134048998355865,-0.356945276260376,-0.06666643917560577]"
1446,"[-0.030870169401168823,0.0335540845990181,-0.02094704657793045,0.12387479841709137,-0.0001467608381062746]"
127180,"[-0.19126546382904053,-0.07304048538208008,0.12802235782146454,-0.17587944865226746,-0.1610574722290039]"
2335,"[-0.1614510715007782,0.030339011922478676,0.10356250405311584,-0.09607510268688202,-0.13815946877002716]"
113453,"[0.054507337510585785,-0.08973602950572968,0.1480855941772461,-0.09870008379220963,0.027458272874355316]"
71668,"[-0.13995788991451263,-0.07859015464782715,0.12388453632593155,-0.2702986001968384,-0.06675679236650467]"
2728,"[-0.14482560753822327,0.020939890295267105,0.0319208987057209,-0.13484714925289154,-0.031966496258974075]"
858,"[0.21891237795352936,-0.5616463422775269,-0.8045804500579834,0.5266669392585754,0.9129469394683838]"
165843,"[-0.33817484974861145,-0.23418214917182922,0.2907615602016449,-0.1761058121919632,-0.16179180145263672]"
3813,"[-0.021455181762576103,0.015679284930229187,0.11665383726358414,0.008422501385211945,0.0161554254591465]"
62383,"[-0.03341258317232132,0.031762782484292984,0.04805629700422287,-0.004918126855045557,-0.07526595890522003]"
3675,"[-0.09023912250995636,-0.12444548308849335,-0.0013852789998054504,-0.059677448123693466,-0.12681490182876587]"
86644,"[-0.03428254276514053,-0.12264566868543625,0.13224561512470245,-0.05588291212916374,-0.18210041522979736]"
6059,"[0.04638765752315521,-0.10349326580762863,0.06713161617517471,-0.11542144417762756,0.04615276679396629]"
86293,"[-0.008566807955503464,0.0689164400100708,0.007195456884801388,0.07890748977661133,-0.09677709639072418]"
1441,"[-0.22419030964374542,-0.12563221156597137,-0.19002628326416016,0.02860691212117672,-0.12665726244449615]"
2991,"[0.06685029715299606,0.13193906843662262,0.031167972832918167,-0.2562928795814514,-0.016273071989417076]"
2513,"[-0.10524935275316238,-0.02028614841401577,0.007645261008292437,-0.05525575205683708,0.05910057947039604]"
1965,"[-0.04976972937583923,0.0783635750412941,0.12763887643814087,-0.08103629946708679,-0.03251266852021217]"
103772,"[-0.04647776111960411,-0.042445696890354156,0.13550755381584167,-0.10863414406776428,-0.11268766969442368]"
7056,"[-0.028825735673308372,0.008761206641793251,0.1834685355424881,-0.16593877971172333,0.008157161995768547]"
6218,"[-0.056231558322906494,-0.3401392102241516,0.3370453417301178,-0.362592488527298,-0.20455117523670197]"
55872,"[0.04739994555711746,0.051776058971881866,-0.05283573269844055,0.02473006583750248,0.018924467265605927]"
1856,"[-0.07796865701675415,-0.04630585387349129,0.045896440744400024,-0.05703170597553253,-0.10410310328006744]"
48262,"[0.08413812518119812,0.045749470591545105,0.08221279829740524,0.052240848541259766,-0.028733864426612854]"
4370,"[-0.16821938753128052,-0.20474646985530853,0.20670823752880096,-0.1681252419948578,-0.09635540843009949]"
42422,"[-0.013233580626547337,-0.012979465536773205,0.0804467424750328,-0.031468093395233154,-0.08434232324361801]"
3745,"[-0.02473497949540615,0.05713479220867157,0.035493914037942886,-0.28614845871925354,-0.02892950363457203]"
42725,"[-0.05296977236866951,0.035626158118247986,0.03892555832862854,-0.05526096001267433,-0.1045173779129982]"
166946,"[-0.07957771420478821,-0.11658477783203125,0.08860359340906143,-0.09904707968235016,-0.016620265319943428]"
5915,"[-0.050680845975875854,0.0462133027613163,-0.04528404399752617,0.05078468099236488,0.04479873925447464]"
4936,"[0.02554696425795555,-0.15110766887664795,-0.04174874722957611,0.06142158433794975,-0.03355957940220833]"
1699,"[0.05858803912997246,0.03868674114346504,-0.06515233963727951,-0.006381017621606588,0.01430855505168438]"
85412,"[0.06796970218420029,0.003392164595425129,0.0993417501449585,0.0692443773150444,-0.007063434459269047]"
92475,"[0.04298580437898636,-0.07106839865446091,-0.000193130224943161,-0.0975881814956665,0.04571474343538284]"
32511,"[0.020083284005522728,0.06239532679319382,0.14074331521987915,-0.13048763573169708,0.04156245291233063]"
113741,"[-0.10936564207077026,-0.037163153290748596,0.024129431694746017,0.0037838048301637173,-0.1298554241657257]"
38159,"[0.04624756798148155,0.05587182566523552,0.07350633293390274,0.052160318940877914,0.007743988651782274]"
619,"[-0.06739959865808487,0.013119306415319443,0.0019287476316094398,0.08478163927793503,-0.06025347486138344]"
2175,"[-0.04845929145812988,-0.06643921136856079,-0.041665155440568924,0.018250523135066032,-0.08423890173435211]"
151315,"[0.06879528611898422,0.07193497568368912,0.02537701278924942,0.05027209222316742,0.07184544950723648]"
51834,"[-0.015349072404205799,0.07569259405136108,0.042873263359069824,-0.10781567543745041,0.06348933279514313]"
94150,"[-0.09728032350540161,-0.08526361733675003,0.10151135176420212,-0.0867004469037056,-0.083735890686512]"
3379,"[-0.09151937067508698,-0.0351957269012928,0.04363211989402771,-0.06251329928636551,0.05293118581175804]"
507,"[-0.11935773491859436,0.012794123031198978,0.0077394843101501465,0.15167225897312164,0.0207456573843956]"
2916,"[-0.2434816062450409,0.11973349004983902,-0.28251251578330994,-0.5666484236717224,0.04976246878504753]"
65088,"[-0.12276575714349747,0.020639512687921524,0.06784022599458694,-0.10209593176841736,-0.159233957529068]"
4965,"[0.07822248339653015,0.00029270444065332413,-0.03691692650318146,-0.01874186098575592,-0.08403398841619492]"
113,"[0.028018992394208908,-0.0941430926322937,-0.04732189700007439,-0.09562969207763672,0.023480452597141266]"
34,"[0.37518152594566345,0.5478286147117615,0.7839089632034302,0.9191589951515198,0.09707553684711456]"
102066,"[0.06374683976173401,-0.09304456412792206,0.054428521543741226,-0.04710812121629715,-0.014672225341200829]"
55908,"[-0.12388455122709274,-0.17956817150115967,0.14601893723011017,-0.17532899975776672,-0.12819041311740875]"
56908,"[-0.05643333122134209,-0.01235277857631445,-0.009045532904565334,0.018825117498636246,0.060742877423763275]"
3753,"[-0.05225810036063194,0.059684764593839645,0.13691279292106628,-0.3782637119293213,-0.04054589197039604]"
117176,"[-0.14018015563488007,-0.1512235403060913,0.21361316740512848,-0.0684189647436142,-0.11203628778457642]"
563,"[-0.10293705761432648,-0.026797428727149963,-0.054599858820438385,0.010824600234627724,0.10769376158714294]"
